OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Gordon_SQ_mean	Grassfeed_mean
k__Bacteria;p__Lentisphaerae	0.666666666667	0.414216178243	0.552288237657	1.0	3.10060213693e-07	0.0
k__Bacteria;p__OP8	0.666666666667	0.414216178243	0.552288237657	1.0	3.76752132888e-07	0.0
k__Bacteria;p__SR1	0.465896589659	0.494881010983	0.623163325083	1.0	3.22707905915e-06	1.16663287052e-05
k__Bacteria;p__Spirochaetes	0.461161524501	0.497081632946	0.623163325083	1.0	3.43845013589e-05	8.51857865764e-05
k__Bacteria;p__Bacteroidetes	0.453333333333	0.50075624337	0.623163325083	1.0	0.0872098579219	0.0758326072184
k__Bacteria;p__Acidobacteria	0.265098039216	0.606639168029	0.738517248035	1.0	0.18418637359	0.183997244173
k__Bacteria;p__[Thermi]	0.242382271468	0.622490782659	0.741691145296	1.0	1.40270558019e-06	0.000330049952879
k__Bacteria;p__Elusimicrobia	0.2169332211	0.641386651379	0.748284426609	1.0	0.00182257719913	0.00200224266598
k__Bacteria;p__Chlorobi	0.141950342658	0.706349754896	0.791458484538	1.0	0.000860238994935	0.00101230010648
k__Bacteria;p__WS3	0.141636640243	0.706659361195	0.791458484538	1.0	0.00571918847859	0.00546822464461
k__Bacteria;p__PAUC34f	0.0833097194672	0.772861297094	0.848632012495	1.0	1.9927636012e-06	5.37056928034e-07
k__Bacteria;p__Chloroflexi	0.0662745098039	0.796840392588	0.857359335973	1.0	0.0277313136119	0.028054665801
k__Bacteria;p__Chlamydiae	0.0569215876089	0.811429371546	0.857359335973	1.0	5.18137193569e-05	0.00017208975698
k__Bacteria;p__Planctomycetes	0.0317647058824	0.858545053555	0.890343018502	1.0	0.044242211062	0.042669867009
k__Bacteria;p__OP11	0.0191294163576	0.889996107546	0.906177854956	1.0	6.6330799171e-06	4.05519171547e-05
k__Bacteria;p__WS2	0.0084829443447	0.926616283707	0.926616283707	1.0	1.95591934792e-05	5.16632586872e-05
