OTU	Test-Statistic	P	FDR_P	Bonferroni_P	bushes_mean	none_mean	mycelium_mean	tree_mean	shrubs_mean	grass_mean
k__Archaea;p__Euryarchaeota	8.26982897575	0.141978435697	0.611599415312	1.0	1.3619524951e-05	3.83153223378e-05	0.0	0.0	4.66851648931e-06	2.44088661417e-06
k__Bacteria;p__Armatimonadetes	7.65629435379	0.176222934974	0.704891739894	1.0	0.0003601905909	0.000924921583815	0.0	0.000617299192573	0.000839494159709	0.00175553066972
k__Bacteria;p__[Thermi]	6.9623907948	0.223452413576	0.755475213399	1.0	0.0	1.30173661978e-06	0.0	6.17299192573e-06	0.0	0.000236428023464
k__Bacteria;p__GAL15	6.94825958741	0.224516837791	0.755475213399	1.0	0.0	1.3546102593e-05	0.0	1.85189757772e-05	7.07584999322e-06	4.32189225316e-06
k__Bacteria;p__SBR1093	6.74933385116	0.239960045585	0.755475213399	1.0	0.0	3.1257433386e-05	0.0	2.46919677029e-05	8.55599003073e-06	0.000115996431358
k__Bacteria;p__WS1	5.80847723705	0.325303274692	0.755475213399	1.0	0.0	1.21960288851e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes	5.74065056541	0.332278183686	0.755475213399	1.0	0.0	1.89897251322e-05	0.0	6.7902911183e-05	1.02612404082e-05	8.46134011554e-05
k__Bacteria;p__NC10	5.68749046363	0.337824426719	0.755475213399	1.0	0.0	5.7199991276e-06	0.0	0.0	5.5957099557e-06	0.0
k__Bacteria;p__Planctomycetes	5.63604137039	0.343258906259	0.755475213399	1.0	0.047142622069	0.0422164979523	0.0314049586777	0.038642929455	0.042429999148	0.0448345025232
k__Bacteria;p__GN02	5.57059924519	0.350266506417	0.755475213399	1.0	6.80976247548e-06	6.44467768972e-06	0.0	0.0	2.12275499796e-05	4.60401897222e-05
k__Bacteria;p__WPS-2	5.56447277547	0.350927989245	0.755475213399	1.0	3.45645205634e-05	6.35575018545e-05	0.0	4.32109434801e-05	9.94015283243e-05	0.00180953355714
k__Bacteria;p__BRC1	5.53122953727	0.354533600012	0.755475213399	1.0	0.000522699029997	0.000244774134118	0.0	0.000111113854663	0.000256722702974	0.000177072202236
k__Bacteria;p__Chlorobi	5.51220865417	0.356609014784	0.755475213399	1.0	0.0015080396841	0.00077501300186	0.0	0.000376552507469	0.000691498919678	0.00104028130284
k__Bacteria;p__AD3	5.48381455003	0.359723938668	0.755475213399	1.0	0.0	2.87286099196e-05	0.0	0.0	9.35834959508e-06	0.00126712954945
k__Bacteria;p__Bacteroidetes	5.3240103426	0.377629746476	0.755475213399	1.0	0.118693390127	0.0843308623362	0.122314049587	0.0926936467567	0.0776503760629	0.0784285826694
